2.1332974448270397e+02,1.0697230148226708e+00
2.1861439030623296e+02,1.0948134770591196e+00
2.2419699903827859e+02,1.1212895259914148e+00
2.3010482906317338e+02,1.1492763885931936e+00
2.3636577020079130e+02,1.1789016615088030e+00
2.4301265531708486e+02,1.2103156379313305e+00
2.5007998053147458e+02,1.2436756713923387e+00
2.5761206626769854e+02,1.2791845488424087e+00
2.6565704121853923e+02,1.3170618523881785e+00
2.7426870019553462e+02,1.3575525239988337e+00
2.8350627645367058e+02,1.4009255620218255e+00
2.9344110560533591e+02,1.4475049991104925e+00
3.0415507907333085e+02,1.4976621732346302e+00
3.1573851548519451e+02,1.5518053090189596e+00
3.2830491167306900e+02,1.6104478657524623e+00
3.4197918928490253e+02,1.6741527782182857e+00
3.5690743237652350e+02,1.7435770400072670e+00
3.7327131173748057e+02,1.8195374643046307e+00
3.9127749492181465e+02,1.9029597736157484e+00
4.1118287268775748e+02,1.9949935221778787e+00
4.3328205664851703e+02,2.0969514602678601e+00
4.5794852188049117e+02,2.2104959925900403e+00
4.8562880142417271e+02,2.3376072229584679e+00
5.1687531587143894e+02,2.4807274220789850e+00
5.5237789561529644e+02,2.6428962233694619e+00
5.9297783062898088e+02,2.8278024402510482e+00
6.3975324080511928e+02,3.0401558693808965e+00
6.9406507625506492e+02,3.2858703223831753e+00
7.5762491197686177e+02,3.5723347623878681e+00
8.3260056129080476e+02,3.9088382993845698e+00
9.2172943237930303e+02,4.3070039561702060e+00
1.0283981551777106e+03,4.7810361734676690e+00
1.1566541977830930e+03,5.3476218529905282e+00
1.3110134915679228e+03,6.0248836160885730e+00
1.4959468679481070e+03,6.8299032566700362e+00
1.7148527678818791e+03,7.7740773128873570e+00
1.9685807271717349e+03,8.8568251238509674e+00
2.2545299688756349e+03,1.0062377231778555e+01
2.5677144075642573e+03,1.1365612637133381e+01
2.9041597945360118e+03,1.2747773870382048e+01
3.2643020955282263e+03,1.4211057024007232e+01
3.6533288293810328e+03,1.5779012117386515e+01
4.0788389648585580e+03,1.7485425036676133e+01
4.5481878945549252e+03,1.9362668412136713e+01
5.0676664621285745e+03,2.1438406407856405e+01
5.6429656803336693e+03,2.3737817724795718e+01
6.2798058574962197e+03,2.6286341711448017e+01
6.9843543986062286e+03,2.9111353687172141e+01
7.7634483617215301e+03,3.2242921828106319e+01
8.6247710747544188e+03,3.5714312753104991e+01
9.5770073831243790e+03,3.9562379839771552e+01
1.0630062245205976e+04,4.3828207294744288e+01
1.1795260878651345e+04,4.8557715074988323e+01
1.3085515608777408e+04,5.3802191756275420e+01
1.4515588196832919e+04,5.9619292373074700e+01
1.6102253399319598e+04,6.6073701047986901e+01
1.7864560590647277e+04,7.3238217985618803e+01
1.9824119551075099e+04,8.1194908492340232e+01
2.2005463090822392e+04,9.0036456667269022e+01
2.4436469276844116e+04,9.9867589353128324e+01
2.7148928079024132e+04,1.1080686485205752e+02
3.0179182087009191e+04,1.2298850346174697e+02
3.3568856287138653e+04,1.3656428262947520e+02
